,lastLowPrice,low24hPrice,avg24hPrice,prapor,praporCurrency,therapist,therapistCurrency,fence,fenceCurrency,skier,skierCurrency,peacekeeper,peacekeeperCurrency,mechanic,mechanicCurrency,ragman,ragmanCurrency,jaeger,jaegerCurrency
ELCAN SpecterDR 1x/4x scope,42000.0,,41353.0,,,,,,,,,39984.0,RUB,,,,,,
AR-15 Colt A2 pistol grip,5555.0,,8701.0,,,,,,,,,1568.0,RUB,,,,,,
Hogue OverMolded Rubber Grip,8000.0,,12701.0,,,,,,,,,4368.0,RUB,,,,,,
AR-15 5.56x45 370mm barrel,34999.0,,41874.0,,,,,,,,,29792.0,RUB,,,,,,
AN/PEQ-15 tactical device,19999.0,,18578.0,,,,,,,,,23184.0,RUB,,,,,,
AR-15 KAC QDC 5.56x45 flash suppressor kit,13333.0,,16588.0,,,,,,,,,6720.0,RUB,,,,,,
.300 Blackout M62 Tracer,,,,,,,,,,,,448.0,RUB,,,,,,
Leupold Mark 4 HAMR 4x24 DeltaPoint hybrid assault scope,37777.0,,39398.0,,,,,,,,,52080.0,RUB,,,,,,
5.56x45 Magpul PMAG 40 GEN M3 STANAG 40-round magazine,34500.0,,32375.0,,,,,,,,,7504.0,RUB,,,,,,
MPX/MCX retractable stock pipe adapter,39599.0,,40000.0,,,,,,,,,4032.0,RUB,,,,,,
AR-15 Magpul MOE pistol grip,19000.0,,14374.0,,,,,,,,,5040.0,RUB,,,,,,
Ops-Core FAST MT Super High Cut helmet (Black),,,,,,,,,,,,158704.0,RUB,,,,,,
AK CAA RS47 handguard,13000.0,,18126.0,,,,,,,,,12992.0,RUB,,,,,,
HK MP5 cocking handle,10000.0,,,,,,,,,,,2016.0,RUB,,,,,,
AR-15 5.56x45 260mm barrel,34444.0,,53409.0,,,,,,,,,23184.0,RUB,,,,,,
AR-15 War Sport LVOA-C handguard (Black),44555.0,,47084.0,,,,,,,,,24304.0,RUB,,,,,,
Colt M4A1 5.56x45 assault rifle,,,,,,,,,,,,96992.0,RUB,67809.0,RUB,,,,
P226 Sight Mount 220-239 rear sight bearing,,,,,,,,,,,,4704.0,RUB,,,,,,
Ops-Core SLAAP armor helmet plate (Tan),,,,,,,,,,,,108192.0,RUB,,,,,,
Daniel Defense MK12 Low Profile Gas Block,21000.0,,21081.0,,,,,,,,,6944.0,RUB,5327.0,RUB,,,,
M67 hand grenade,,,,,,,,,,,,9744.0,RUB,,,,,,
7.62x51mm M62 Tracer,,,,,,,,,,,,1232.0,RUB,,,,,,
Magpul UBR GEN2 stock,14000.0,,25430.0,,,,,,,,,13552.0,RUB,,,,,,
P226 Combat pistol grip (FDE),,,,,,,,,,,,1568.0,RUB,,,,,,
SIG P226R 9x19 pistol,,,,,,,,,,,,16688.0,RUB,,,,,,
MPX flip-up front sight,3333.0,,,,,,,,,,,784.0,RUB,,,,,,
Aimpoint Micro Standard Mount,5555.0,,12749.0,,,,,,,,,3024.0,RUB,,,,,,
7.62x51mm M61,,,,,,,,,,,,2464.0,RUB,,,,,,
SureFire X400 Ultra tactical flashlight with laser,14333.0,,15139.0,,,,,,,,,13664.0,RUB,,,,,,
HK MP5 9x19 30-round magazine,7000.0,,10833.0,,,,,,,,,4928.0,RUB,,,,,,
MFT BUS stock,12000.0,,17723.0,,,,,,,,,9856.0,RUB,,,,,,
Leupold DeltaPoint Reflex Sight,30000.0,,39732.0,,,,,,,,,22064.0,RUB,,,,,,
DeltaPoint Cross Slot Mount base,15555.0,,37042.0,,,,,,,,,2016.0,RUB,,,,,,
EOTech 553 holographic sight,21111.0,,24195.0,,,,,,,,,25872.0,RUB,,,,,,
P226 9x19 threaded barrel,12000.0,,19000.0,,,,,,,,,1904.0,RUB,,,,,,
SIG MPX 9x19 submachine gun,,,,,,,,,,,,64512.0,RUB,,,,,,
HK MP5 Drum rear sight,19000.0,,20000.0,,,,,,,,,2576.0,RUB,,,,,,
KAC QDSS NT-4 5.56x45 sound suppressor,25000.0,,29176.0,,,,,,,,,57904.0,RUB,,,,,,
Aimpoint Micro T-1 reflex sight,23000.0,,29500.0,,,,,,,,,34384.0,RUB,,,,,,
HK MP5 A2 stock,50000.0,,99000.0,,,,,,,,,15344.0,RUB,,,,,,
HK MP5SD 9x19 sound suppressor,199999.0,,,,,,,,,,,32368.0,RUB,,,,,,
HK MP5 3-lug thread protector,22222.0,,29999.0,,,,,,,,,3360.0,RUB,,,,,,
AR-15 Naroh Arms GRAL-S pistol grip,70000.0,,59347.0,,,,,,,,,16800.0,RUB,,,,,,
SIG Sauer BRAVO4 4x30 scope,30000.0,,40494.0,,,,,,,,,51856.0,RUB,,,,,,
AK Krebs Custom UFM KeyMod handguard,16499.0,,18386.0,,,,,,,,,27216.0,RUB,,,,,,
Ops-Core FAST multi-hit ballistic face shield,,,,,,,,,,,,43568.0,RUB,,,,,,
AK-74 5.45x39 Magpul PMAG 30 GEN M3 30-round magazine,13333.0,,16083.0,,,,,,,,,3248.0,RUB,,,,,,
"AK 7.62x39 US Palm ""AK30"" 30-round magazine",30000.0,,25370.0,,,,,,,,,5376.0,RUB,,,,,,
HK MP5 A3 old model stock,24000.0,,24000.0,,,,,,,,,16688.0,RUB,,,,,,
Fortis Shift tactical foregrip,32000.0,,40162.0,,,,,,,,,19712.0,RUB,,,,,,
Trijicon RMR high profile mount,6666.0,,14094.0,,,,,,,,,2016.0,RUB,,,,,,
Vltor CASV KeyMod 4 inch rail,14300.0,,23376.0,,,,,,,,,2240.0,RUB,,,,,,
AK TAPCO SAW-Style pistol grip,12999.0,,20298.0,,,,,,,,,5488.0,RUB,,,,,,
Norotos Titanium Advanced Tactical Mount,42000.0,,38686.0,,,,,,,,,5040.0,RUB,,,,,,
HK MP5 Wide Tropical polymer handguard,10000.0,,19065.0,,,,,,,,,3696.0,RUB,,,,,,
SilencerCo Hybrid 46 multi-caliber silencer,90000.0,,92183.0,,,,,,,,,105392.0,RUB,,,,,,
HK MP5SD polymer handguard,31000.0,,44940.0,,,,,,,,,6608.0,RUB,,,,,,
Remington R11 RSASS 7.62x51 marksman rifle,,,,,,,,,,,,170352.0,RUB,,,,,,
AR-15 Stark AR Rifle Grip,17500.0,,23112.0,,,,,,,,,5600.0,RUB,,,,,,
AR-10 7.62x51 22 inch barrel,27000.0,,30034.0,,,,,,,,,49280.0,RUB,,,,,,
HK MP5SD B&T tri-rail ring mount,999999.0,,667482.0,,,,,,,,,5264.0,RUB,,,,,,
AK 7.62x39 Magpul PMAG 30 GEN M3 30-round magazine,27000.0,,20760.0,,,,,,,,,4480.0,RUB,,,,,,
5.56x45mm M856,,,,,,,,,,,,224.0,RUB,,,,,,
5.56x45mm MK 255 Mod 0 (RRLP),,,,,,,,,,,,224.0,RUB,,,,,,
P226 Trijicon RMR mount,4850.0,,9345.0,,,,,,,,,5488.0,RUB,,,,,,
Wilcox Skull Lock head mount,,,,,,,,,,,,142576.0,RUB,,,16859.0,RUB,,
5.56x45 Magpul PMAG 30 GEN M3 STANAG 30-round magazine,7999.0,,15926.0,,,,,,,,,3808.0,RUB,,,,,,
HK MP5SD 9x19 upper receiver,40000.0,,52318.0,,,,,,,,,9520.0,RUB,,,,,,
MPX flip-up rear sight,1000.0,,,,,,,,,,,1008.0,RUB,,,,,,
HK MP5 9x19 upper receiver,14000.0,,13766.0,,,,,,,,,4032.0,RUB,,,,,,
Vltor CASV KeyMod 6 inch rail,30000.0,,29471.0,,,,,,,,,3024.0,RUB,,,,,,
SilencerCo Osprey 9 9x19 sound suppressor,31000.0,,33642.0,,,,,,,,,48160.0,RUB,31158.0,RUB,,,,
HK MP5 MFI HK universal low profile scope mount,25000.0,,43264.0,,,,,,,,,10192.0,RUB,,,,,,
Ops-Core FAST RAC Headset,,,,,,,,,,,,56560.0,RUB,,,,,,
4.6x30mm Action SX,,,,,,,,,,,,224.0,RUB,110.0,RUB,,,,
Vltor EMOD stock,9999.0,,19275.0,,,,,,,,,10864.0,RUB,,,,,,
Ops-Core FAST Side Armor,,,,,,,,,,,,41776.0,RUB,,,,,,
M1A 7.62x51 20-round magazine,31000.0,,20531.0,,,,,,,,,3024.0,RUB,,,,,,
Colt A2 buffer tube,13000.0,,21422.0,,,,,,,,,4480.0,RUB,,,,,,
Ops-Core FAST Visor,,,,,,,,,,,,14224.0,RUB,,,12985.0,RUB,,
SilencerCo Hybrid 46 Direct Thread Mount adapter,100000.0,,22622.0,,,,,,,,,5824.0,RUB,4615.0,RUB,,,,
AR-15 Vltor MUR-1S 5.56x45 upper receiver,78990.0,,85131.0,,,,,,,,,39648.0,RUB,,,,,,
AR-10 7.62x51 18 inch barrel,36420.0,,43580.0,,,,,,,,,47488.0,RUB,,,,,,
Ops-Core FAST Gunsight Mandible,,,,,,,,,,,,25872.0,RUB,,,,,,
Trijicon RMR low profile mount,12345.0,,20333.0,,,,,,,,,2016.0,RUB,,,,,,
UNTAR helmet,,,,,,,,,,,,25984.0,RUB,,,,,,
AR-10 7.62x51 Magpul PMAG 20 SR-LR GEN M3 20-round magazine,20000.0,,32298.0,,,,,,,,,4368.0,RUB,,,,,,
AAC 762-SDN-6 multi-caliber sound suppressor,59999.0,,62608.0,,,,,,,,,81648.0,RUB,,,,,,
GPNVG-18 Night Vision goggles,,,,,,,,,,,,202048.0,RUB,,,,,,
Trijicon RMR reflex sight,26666.0,,30452.0,,,,,,,,,29680.0,RUB,,,,,,
Vltor CASV KeyMod 2 inch rail,15500.0,,21055.0,,,,,,,,,2464.0,RUB,,,,,,
AR-15 KAC RIS handguard,9999.0,,13818.0,,,,,,,,,9072.0,RUB,,,,,,
AR-15 Colt A2 rear sight,1500.0,,1500.0,,,,,,,,,1120.0,RUB,,,,,,
Aimpoint Micro Spacer High,7777.0,,10047.0,,,,,,,,,2688.0,RUB,,,,,,
Alpha Dog Alpha 9 9x19 sound suppressor,20999.0,,21936.0,,,,,,,,,31136.0,RUB,,,,,,
AN/PVS-14 Dual Dovetail Mount,25555.0,,30884.0,,,,,,,,,3024.0,RUB,,,,,,
AR-15 War Sport LVOA-S handguard (Black),18666.0,,22415.0,,,,,,,,,20496.0,RUB,,,,,,
AR-15 Magpul MIAD pistol grip (FDE),7000.0,,30356.0,,,,,,,,,3920.0,RUB,,,,,,
AK 7.62x39 ProMag AK-A-16 73-round drum magazine,,,,,,,,,,,,50400.0,RUB,,,,,,
3V Gear Paratus 3-Day Operator's Tactical backpack,,,,,,,,,,,,74592.0,RUB,,,,,,
DS Arms SA-58 7.62x51 assault rifle,,,,,,,,,,,,135184.0,RUB,,,,,,
MPX 9x19 30-round magazine,7500.0,,12480.0,,,,,,,,,2576.0,RUB,,,,,,
AR-15 Colt USGI A2 5.56x45 flash hider,1500.0,,10000.0,,,,,,,,,1680.0,RUB,1501.0,RUB,,,,
R11 RSASS handguard,23332.0,,26761.0,,,,,,,,,24416.0,RUB,,,,,,
HK MP7 4.6x30 20-round magazine,11700.0,,13781.0,,,,,,,,,4928.0,RUB,4510.0,RUB,,,,
AR-10 AAC Blackout 51T 7.62x51 flash hider,20000.0,,28880.0,,,,,,,,,5600.0,RUB,,,,,,
SIG Sauer ROMEO sight mount,5555.0,,12407.0,,,,,,,,,2352.0,RUB,,,,,,
5.56x45 Colt AR-15 STANAG 30-round magazine,6995.0,,9996.0,,,,,,,,,2464.0,RUB,,,,,,
Magpul RVG foregrip,14000.0,,23242.0,,,,,,,,,8624.0,RUB,,,,,,
SA-58/FAL 7.62x51 20-round magazine,12333.0,,17407.0,,,,,,,,,3472.0,RUB,,,,,,
5.7x28mm SB193,,,,,,,,,,,,336.0,RUB,,,,,,
EOTech HHS-1 hybrid sight,44999.0,,43468.0,,,,,,,,,62048.0,RUB,,,,,,
AR-15 rear sight carry handle,800.0,,,,,,,,,,,1008.0,RUB,,,,,,
MF-UNTAR body armor,,,,,,,,,,,,48496.0,RUB,,,,,,
Magpul PRS GEN2 stock (FDE),14000.0,,16579.0,,,,,,,,,20720.0,RUB,,,,,,
SA-58/FAL 7.62x51 SLR 30-round magazine,25785.0,,38881.0,,,,,,,,,5600.0,RUB,,,,,,
SIG Sauer ROMEO4 reflex sight,14444.0,,22304.0,,,,,,,,,25872.0,RUB,,,,,,
Crye Precision AirFrame Ears,,,,,,,,,,,,43904.0,RUB,,,,,,
HK 416A5 5.56x45 assault rifle,,,,,,,,,,,,111104.0,RUB,,,,,,
Gemtech ONE multi-caliber sound suppressor,38000.0,,44066.0,,,,,,,,,58800.0,RUB,,,,,,
M14 7.62x51 30-round magazine,20000.0,,30968.0,,,,,,,,,7056.0,RUB,,,,,,
5.56x45 HK PM Gen.2 STANAG 30-round magazine,15000.0,,15225.0,,,,,,,,,4256.0,RUB,,,,,,
Desert Tech MDR 5.56x45 assault rifle,,,,,,,,,,,,130368.0,RUB,,,,,,
5.7x28mm SS190,,,,,,,,,,,,560.0,RUB,,,,,,
4.6x30mm FMJ SX,,,,,,,,,,,,336.0,RUB,,,,,,
SA-58/FAL 7.62x51 10-round magazine,3999.0,,4979.0,,,,,,,,,2240.0,RUB,,,,,,
AR-15 HK V2 pistol grip,9898.0,,10289.0,,,,,,,,,3808.0,RUB,,,,,,
MPX/MCX PMM ULSS foldable stock,19000.0,,22500.0,,,,,,,,,7616.0,RUB,,,,,,
Gemtech ONE direct thread mount adapter,41111.0,,37055.0,,,,,,,,,4816.0,RUB,,,,,,
HK 416A5 flip-up rear sight,2222.0,,,,,,,,,,,1008.0,RUB,,,,,,
KAC Folding rear sight,11900.0,,11990.0,,,,,,,,,4032.0,RUB,,,,,,
Crye Precision AirFrame helmet (Tan),,,,,,,,,,,,161504.0,RUB,,,,,,
AK US Palm pistol grip,31000.0,,27697.0,,,,,,,,,8960.0,RUB,,,,,,
SA-58/FAL Magpul PRS 2 polymer stock,11000.0,,19445.0,,,,,,,,,19712.0,RUB,,,,,,
AKM/AK-74 Magpul Zhukov-S stock,76000.0,,82426.0,,,,,,,,,22512.0,RUB,,,,,,
AR-15 HK Extended Latch charging handle,9999.0,,15213.0,,,,,,,,,2576.0,RUB,,,,,,
FN P90 5.7x28 upper receiver,8100.0,,7077.0,,,,,,,,,2912.0,RUB,,,,,,
HK 416A5 Midwest Industries 9 inch M-LOK handguard,14490.0,,16640.0,,,,,,,,,14672.0,RUB,,,,,,
Springfield Armory M1A 7.62x51 rifle,,,,,,,,,,,,118832.0,RUB,122824.0,RUB,,,,
Armasight NVG head strap,,,,,,,,,,,,23184.0,RUB,,,,,,
HK 416A5 Quad Rail handguard,6666.0,,10014.0,,,,,,,,,9856.0,RUB,,,,,,
.300 Blackout AP,,,,,,,,,,,,112.0,RUB,,,,,,
SLR-106/AK 5.56x45 Circle 10 30-round magazine,20000.0,,21682.0,,,,,,,,,2912.0,RUB,,,,,,
5.7x28mm L191,,,,,,,,,,,,224.0,RUB,,,,,,
MPX/MCX Maxim Defense CQB telescoping stock,,,,,,,,,,,,4592.0,RUB,,,,,,
HK MP7A1 4.6x30 submachine gun,,,,,,,,,,,,76720.0,RUB,,,,,,
Aimpoint Standard Spacer,14000.0,,14710.0,,,,,,,,,2688.0,RUB,,,,,,
AR-10 Precision Armanent M11 Severe-Duty 7.62x51 muzzle brake,10000.0,,13768.0,,,,,,,,,11424.0,RUB,,,,,,
FN P90 5.7x28 50-round magazine,40000.0,,44633.0,,,,,,,,,12768.0,RUB,,,,,,
AR-10 Lantac Drakon 7.62x51 muzzle brake-compensator,43500.0,,60303.0,,,,,,,,,27664.0,RUB,,,,,,
FN P90 5.7x28 submachine gun,,,,,,,,,,,,126224.0,RUB,,,,,,
MPX 9x19 20-round magazine,4500.0,,11250.0,,,,,,,,,1792.0,RUB,,,,,,
Steiner DBAL-PL tactical device,15000.0,,35895.0,,,,,,,,,16464.0,RUB,,,,,,
.45 ACP AP,,,,,,,,,,,,896.0,RUB,,,,,,
HK 416A5 Midwest Industries 13.5 inch M-LOK handguard,13444.0,,17179.0,,,,,,,,,17472.0,RUB,,,,,,
KAC URX 3 3 inch rail,12222.0,,13610.0,,,,,,,,,2016.0,RUB,,,,,,
Aimpoint LRP mount for CompM4 sights,9499.0,,16269.0,,,,,,,,,2912.0,RUB,,,,,,
Lantac BMD Blast Mitigation Device A3 direct thread adapter,64500.0,,53166.0,,,,,,,,,4144.0,RUB,,,,,,
5.56x45 HK Steel Maritime STANAG 30-round magazine,9800.0,,12504.0,,,,,,,,,4480.0,RUB,,,,,,
MSA ACH TC-2002 MICH Series helmet,,,,,,,,,,,,59584.0,RUB,,,,,,
HK 416A5 5.56x45 upper receiver,14999.0,,17410.0,,,,,,,,,7952.0,RUB,,,,,,
M700 AB Arms MOD*X buffer tube side folder adapter,9500.0,,11623.0,,,,,,,,,3248.0,RUB,,,,,,
MPX Midwest Industries 4.5 inch M-LOK handguard,30000.0,,7000.0,,,,,,,,,7840.0,RUB,,,,,,
.338 Lapua Magnum FMJ,,,,,,,,,,,,2128.0,RUB,,,,,,
Team Wendy EXFIL Ballistic face shield (Coyote Brown),,,,,,,,,,,,38192.0,RUB,,,,,,
Team Wendy EXFIL Ballistic face shield (Black),,,,,,,,,,,,38192.0,RUB,,,,,,
AR-15 HK E1 buttstock,29998.0,,30835.0,,,,,,,,,13440.0,RUB,,,,,,
5.7x28mm SS198LF,,,,,,,,,,,,224.0,RUB,,,,,,
5.56x45 HK 30 STANAG polymer 30-round magazine,23333.0,,29331.0,,,,,,,,,4928.0,RUB,,,,,,
MPX 9x19 10.5 inch barrel,,,,,,,,,,,,9968.0,RUB,,,,,,
AR-15 Thunder Beast Arms 223CB 5.56x45 muzzle brake,18000.0,,17997.0,,,,,,,,,8736.0,RUB,,,,,,
M9A3 9x19 17-round magazine,7500.0,,9525.0,,,,,,,,,2240.0,RUB,,,,,,
KAC vertical foregrip,11750.0,,16838.0,,,,,,,,,3920.0,RUB,,,,,,
AR-15 Daniel Defense RIS II FSP 9.5 handguard (Coyote Brown),13000.0,,26432.0,,,,,,,,,19152.0,RUB,,,,,,
M700 AB Arms MOD*X rail mount,22222.0,,,,,,,,,,,3248.0,RUB,,,,,,
KAC Folding front sight,6000.0,,9679.0,,,,,,,,,2800.0,RUB,,,,,,
"CQC Osprey MK4A plate carrier (Assault, MTP)",,,,,,,,,,,,180320.0,RUB,,,,,,
Knight's Armament Company SR-25 7.62x51 marksman rifle,,,,,,,,,,,,126224.0,RUB,,,,,,
HK MP5K 9x19 submachine gun,,,,,,,,,,,,23408.0,RUB,,,,,,
KAC URX 3/3.1 long panel,6000.0,,9999.0,,,,,,,,,2128.0,RUB,,,,,,
SKS 7.62x39 ProMag AALVX 35-round magazine,15555.0,,23098.0,,,,,,,,,20272.0,RUB,,,,,,
SIG Sauer SRD9 9x19 sound suppressor,24000.0,,30422.0,,,,,,,,,34720.0,RUB,,,,,,
MP9 9x19 25-round magazine,20000.0,,36942.0,,,,,,,,,3136.0,RUB,,,,,,
KAC URX 3/3.1 short panel,35000.0,,3333.0,,,,,,,,,1456.0,RUB,,,,,,
Desert Tech MDR 7.62x51 assault rifle,,,,,,,,,,,,183680.0,RUB,,,,,,
AR-10 Keeno Arms SHREWD 7.62x51 muzzle brake,8888.0,,12768.0,,,,,,,,,13328.0,RUB,,,,,,
HK MP5 9x19 20-round magazine,12000.0,,,,,,,,,,,3808.0,RUB,,,,,,
AR-15 AAC Blackout 51T 5.56x45 flash hider,10552.0,,14813.0,,,,,,,,,8736.0,RUB,,,,,,
MPX 9x19 6.5 inch barrel,,,,,,,,,,,,6272.0,RUB,,,,,,
M700 AB Arms MOD*X GEN 3 KeyMod handguard,22222.0,,30230.0,,,,,,,,,12096.0,RUB,,,,,,
Gemtech SFN-57 5.7x28 sound suppressor,28999.0,,32861.0,,,,,,,,,46032.0,RUB,,,,,,
KAC URX 3/3.1 stopper panel,8666.0,,14599.0,,,,,,,,,3472.0,RUB,,,,,,
MPX Geissele SCH charging handle,40404.0,,29999.0,,,,,,,,,2240.0,RUB,,,,,,
Team Wendy EXFIL Ballistic Helmet (Black),,,,,,,,,,,,166992.0,RUB,,,,,,
5.7x28mm SS197SR,,,,,,,,,,,,224.0,RUB,,,,,,
TACCOM Carbine Brake multi-caliber muzzle brake,17000.0,,24503.0,,,,,,,,,13216.0,RUB,,,,,,
KAC PRS/QDC 7.62x51 sound suppressor,288888.0,,305379.0,,,,,,,,,62272.0,RUB,,,,,,
AR-10 KAC QDC 7.62x51 flash suppressor kit,11988.0,,13948.0,,,,,,,,,7504.0,RUB,,,,,,
Magpul PRS GEN3 stock,67888.0,,48249.0,,,,,,,,,26208.0,RUB,,,,,,
SOE Micro Rig,,,,,,,,,,,,11648.0,RUB,,,,,,
Team Wendy EXFIL Ear Covers (Coyote Brown),,,,,,,,,,,,47488.0,RUB,,,,,,
"CQC Osprey MK4A plate carrier (Protection, MTP)",,,,,,,,,,,,187824.0,RUB,,,,,,
Lantac BMD 7.62x51 Blast Mitigation Device,14990.0,,17258.0,,,,,,,,,11984.0,RUB,,,,,,
MPX Midwest Industries 6.5 inch M-LOK handguard,8888.0,,11156.0,,,,,,,,,9296.0,RUB,,,,,,
AR-10 7.62x51 KAC 20-round steel magazine,29999.0,,30218.0,,,,,,,,,3024.0,RUB,,,,,,
MP9 9x19 15-round magazine,12000.0,,,,,,,,,,,2128.0,RUB,,,,,,
Team Wendy EXFIL Ear Covers (Black),,,,,,,,,,,,47488.0,RUB,,,,,,
Beretta M9A3 9x19 pistol,,,,,,,,,,,,13888.0,RUB,,,,,,
Team Wendy EXFIL Ballistic Helmet (Coyote Brown),,,,,,,,,,,,159040.0,RUB,,,,,,
Armasight N-15 Night Vision Goggles,45000.0,,55114.0,,,,,,,,,90720.0,RUB,,,,,,
Aimpoint CompM4 reflex sight,16999.0,,18972.0,,,,,,,,,35952.0,RUB,,,,,,
SR-25 7.62x51 16 inch barrel,29000.0,,40026.0,,,,,,,,,34832.0,RUB,,,,,,
MPX 9x19 14 inch barrel,22222.0,,22222.0,,,,,,,,,15008.0,RUB,,,,,,
AR-15 KAC URX 3.1 10.75 inch handguard,25000.0,,27280.0,,,,,,,,,22848.0,RUB,,,,,,
FN Five-seveN MK2 5.7x28 pistol (FDE),,,,,,,,,,,,33712.0,RUB,,,,,,
FN P90 stock,10000.0,,,,,,,,,,,4256.0,RUB,,,,,,
AR-10 KAC ambidextrous charging handle,8000.0,,14755.0,,,,,,,,,1344.0,RUB,,,,,,
FN P90 buttpad,7000.0,,12225.0,,,,,,,,,2800.0,RUB,,,,,,
MPX Midwest Industries 10.5 inch M-LOK handguard,9900.0,,17244.0,,,,,,,,,11312.0,RUB,,,,,,
M9A3 Sight Mount rear sight rail,,,,,,,,,,,,4368.0,RUB,,,,,,
P226 9x19 20-round extended magazine,15000.0,,15000.0,,,,,,,,,3584.0,RUB,,,,,,
KAC Folding Micro front sight,15999.0,,14499.0,,,,,,,,,3472.0,RUB,,,,,,
MPX 9x19 4.5 inch barrel,,,,,,,,,,,,4704.0,RUB,,,,,,
AR-10 Thunder Beast Arms 30CB 7.62x51 muzzle brake,19000.0,,25198.0,,,,,,,,,12432.0,RUB,,,,,,
AR-10 7.62x51 KAC 10-round steel magazine,13000.0,,23074.0,,,,,,,,,2240.0,RUB,,,,,,
FN Five-seveN 5.7x28 20-round magazine,16666.0,,21295.0,,,,,,,,,4480.0,RUB,,,,,,
MSA ACH TC-2001 MICH Series helmet,,,,,,,,,,,,56000.0,RUB,,,,,,
KAC Folding Micro rear sight,9876.0,,9937.0,,,,,,,,,4368.0,RUB,,,,,,
.45 ACP Match FMJ,,,,,,,,,,,,112.0,RUB,,,,,,
MP9 9x19 20-round magazine,25000.0,,,,,,,,,,,2464.0,RUB,,,,,,
AR-15 Daniel Defense RIS II 12.25 handguard (Coyote Brown),18000.0,,30328.0,,,,,,,,,21168.0,RUB,,,,,,
AR-15 5.56x45 20 inch barrel,63000.0,,100738.0,,,,,,,,,44352.0,RUB,,,,,,
FN Five-seveN 5.7x28 threaded barrel,,,,,,,,,,,,5152.0,RUB,,,,,,
M700 AB Arms MOD*X GEN 3 stock,18000.0,,24150.0,,,,,,,,,18144.0,RUB,,,,,,
.45 ACP Lasermatch FMJ,,,,,,,,,,,,112.0,RUB,,,,,,
HK MP5 CAA HX-5 handguard,21000.0,,28220.0,,,,,,,,,17472.0,RUB,,,,,,
M1911A1 .45 ACP threaded barrel,10000.0,,9850.0,,,,,,,,,3920.0,RUB,,,,,,
B5 Systems Precision stock,27000.0,,36606.0,,,,,,,,,22512.0,RUB,,,,,,
AR-15 Rainier Arms Avalanche MOD2 charging handle,28999.0,,40469.0,,,,,,,,,8512.0,RUB,,,,,,
AR-15 KAC URX 3 8 inch handguard,15000.0,,22579.0,,,,,,,,,20272.0,RUB,,,,,,
Trijicon SRS-02 reflex sight,21000.0,,20635.0,,,,,,,,,27776.0,RUB,,,,,,
FN Five-seveN MK2 5.7x28 pistol,,,,,,,,,,,,33712.0,RUB,,,,,,
Galvion Caiman Hybrid Ballistic Mandible Guard,,,,,,,,,,,,29680.0,RUB,,,,,,
Ferfrans CRD 5.56x45 Concussion Reduction Device,28777.0,,18083.0,,,,,,,,,11760.0,RUB,,,,,,
HK UMP side handguard rail,25000.0,,12611.0,,,,,,,,,1344.0,RUB,,,,,,
SR-25 7.62x51 20 inch barrel,,,,,,,,,,,,43232.0,RUB,,,,,,
MP9 9x19 30-round magazine,27000.0,,32080.0,,,,,,,,,5040.0,RUB,,,,,,
AR-10 Lancer LCH7 12.5 inch M-LOK handguard,23000.0,,29971.0,,,,,,,,,25760.0,RUB,,,,,,
AR-15 Ferfrans CQB 5.56x45 muzzle brake,12000.0,,15031.0,,,,,,,,,10192.0,RUB,,,,,,
M1911A1 .45 ACP Mec-Gar 11-round magazine,17775.0,,23887.0,,,,,,,,,2576.0,RUB,,,,,,
AN/PEQ-2 tactical device,7777.0,,10686.0,,,,,,,,,12432.0,RUB,,,,,,
B&T MP9 9x19 submachine gun,,,,,,,,,,,,31024.0,RUB,,,,,,
LBT-8005A Day Pack backpack,,,,,,,,,,,,27440.0,RUB,,,,,,
SIG Sauer SRD762Ti 7.62x51 sound suppressor,59999.0,,63415.0,,,,,,,,,63056.0,RUB,,,,,,
5.56x45mm MK 318 Mod 0 (SOST),,,,,,,,,,,,448.0,RUB,,,,,,
HK UMP .45 ACP 25-round magazine,44444.0,,41480.0,,,,,,,,,2800.0,RUB,,,,,,
AFAK tactical individual first aid kit,,,,,,,,,,,,61488.0,RUB,,,,,,
AR-15 SilencerCo ASR 5.56x45 flash hider,29999.0,,29414.0,,,,,,,,,12656.0,RUB,,,,,,
Tactical Dynamics Skeletonized Foregrip,16666.0,,23010.0,,,,,,,,,9184.0,RUB,,,,,,
CAT hemostatic tourniquet,,,,,,,,,,,,3920.0,RUB,,,,,,
.45 ACP Hydra-Shok,,,,,,,,,,,,224.0,RUB,,,,,,
SIG Sauer 7.62x51 3-prong flash hider,10000.0,,11556.0,,,,,,,,,2240.0,RUB,,,,,,
Remington Model 700 7.62x51 bolt-action sniper rifle,,,,,,,,,,,,48608.0,RUB,,,,,104858.0,RUB
Galvion Caiman Fixed Arm Visor,,,,,,,,,,,,22736.0,RUB,,,,,,
HK UMP bottom handguard rail,10000.0,,13166.0,,,,,,,,,2016.0,RUB,,,,,,
SIG Sauer Vertical Foregrip KeyMod (Black),13500.0,,16135.0,,,,,,,,,6608.0,RUB,,,,,,
HK UMP .45 ACP submachine gun,,,,,,,,,,,,34496.0,RUB,,,,,,
Galvion Caiman Hybrid Ballistic Applique,,,,,,,,,,,,73136.0,RUB,,,,,,
SIG Sauer SRD762-QD 7.62x51 sound suppressor,38999.0,,44316.0,,,,,,,,,66080.0,RUB,,,,,,
KRISS Defiance DS150 stock,22000.0,,19398.0,,,,,,,,,9632.0,RUB,,,,,,
